"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"< 0 DM",6,"Critical account / other credits existing","Radio / television",1169,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",67,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",48,"Existing credits paid back duly till now","Radio / television",5951,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Real estate",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Education",2096,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","4 to < 7 years","Real estate",49,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"< 0 DM",42,"Existing credits paid back duly till now","Furniture / equipment",7882,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","Guarantor",">= 7 years","Building society savings / life insurance",45,"None","For free","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",24,"Delay in paying off in the past","Car (new)",4870,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",53,"None","For free","2 to 3","Skilled employee / official","3 or more","None","Yes","Bad",1
"No checking account",36,"Existing credits paid back duly till now","Education",9055,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",35,"None","For free","1","Unskilled resident","3 or more","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Furniture / equipment",2835,"500 to < 1000 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Building society savings / life insurance",53,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Car (used)",6948,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",35,"None","Rent","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",3059,">= 1000 DM","4 to < 7 years","25% to < 35%","Male divorced/separated","None",">= 7 years","Real estate",61,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",30,"Critical account / other credits existing","Car (new)",5234,"< 100 DM","Unemployed","< 20%","Male married/widowed","None","1 to < 4 years","Car or other property",28,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",1295,"< 100 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None","< 1 year","Car or other property",25,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"< 0 DM",48,"Existing credits paid back duly till now","Business",4308,"< 100 DM","< 1 year","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",24,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",1567,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Car or other property",22,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"Critical account / other credits existing","Car (new)",1199,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",60,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"< 0 DM",15,"Existing credits paid back duly till now","Car (new)",1403,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None",">= 7 years","Car or other property",28,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Radio / television",1282,"100 to < 500 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",32,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",24,"Critical account / other credits existing","Radio / television",2424,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",53,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",30,"No credits taken / all credits paid back duly","Business",8072,"Unknown / no savings account","< 1 year","25% to < 35%","Male single","None","4 to < 7 years","Car or other property",25,"Bank","Own","4 to 5","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Existing credits paid back duly till now","Car (used)",12579,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Unknown / no property",44,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Radio / television",3430,"500 to < 1000 DM",">= 7 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",31,"None","Own","1","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",9,"Critical account / other credits existing","Car (new)",2134,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Car or other property",48,"None","Own","4 to 5","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",6,"Existing credits paid back duly till now","Radio / television",2647,"500 to < 1000 DM","1 to < 4 years","25% to < 35%","Male single","None","4 to < 7 years","Real estate",44,"None","Rent","1","Skilled employee / official","3 or more","None","Yes","Good",0
"< 0 DM",10,"Critical account / other credits existing","Car (new)",2241,"< 100 DM","< 1 year",">= 35% of disposable income","Male single","None","4 to < 7 years","Real estate",48,"None","Rent","2 to 3","Unskilled resident","3 or more","None","No","Good",0
"0 to < 200 DM",12,"Critical account / other credits existing","Car (used)",1804,"100 to < 500 DM","< 1 year","20% to < 25%","Male single","None",">= 7 years","Building society savings / life insurance",44,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",10,"Critical account / other credits existing","Furniture / equipment",2069,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male married/widowed","None","< 1 year","Car or other property",26,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","No","Good",0
"< 0 DM",6,"Existing credits paid back duly till now","Furniture / equipment",1374,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Real estate",36,"Bank","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"No checking account",6,"No credits taken / all credits paid back duly","Radio / television",426,"< 100 DM",">= 7 years","< 20%","Male married/widowed","None",">= 7 years","Car or other property",39,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"All credits at this bank paid back duly","Radio / television",409,">= 1000 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","4 to < 7 years","Real estate",42,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",7,"Existing credits paid back duly till now","Radio / television",2415,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","Guarantor","1 to < 4 years","Real estate",34,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",60,"Delay in paying off in the past","Business",6836,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",63,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
